"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08"
"Laramie County","WY","Cheyenne","56","021",624,212000,205000,202950,2e+05,2e+05,195000,2e+05,199900,194500,198900,188450,189000,191000,189900,190000,196500,198500,198500,199500,199900,199250,195000,195000,189000,190000,195000,194900,198250,189900,189900,199900,210000,202485,195000,195000,199900,199900,198000,199700,197900,198750,199000,205000,206400,209000,205000,201700,202650,204900,205600,214000,219800,219900,225000,219000,222250,225700,218900,218900,219950,225250,219925,222500,222500,228900,229950,235000,234900,229800,229000,225000,225000,225000,225000,239950,250000,257000,257000,256900,250000,259000,252950,251300,256000,260000,259900,265000,265000,260000,265000,265000,266000,268700,265000,265000,268950,274500,269900,270000,275000,275000,278000,270000,271000,274900,272900,275000,275000,275000,274000,279500,279900,283900,289000,289000,290000
"Lawrence County","PA","New Castle","42","073",625,94000,94900,89900,92512,90000,89900,92900,89900,89900,91950,89900,87500,85000,87200,87500,89900,95000,89900,89900,89900,89900,89250,89900,89900,89900,89900,89900,84900,89900,98900,97700,93200,96000,89900,95000,90200,89900,89900,89900,90000,89900,89900,89000,86800,89900,84901,84900,84900,84900,79949.5,85000,85000,85000,88855.5,89900,89815,87900,88000,88900,89000,89250,89000,89900,89900,94900,94900,89999,89900,87900,79950,79900,79900,79250,82900,83450,83000,85000,84900,85000,84900,79900,79900,75900,79900,76250,78000,79900,79900,79900,80000,80000,79900,80000,80450,79000,75000,74900,77000,78500,79900,84800,86900,84900,87900,84999.5,89900,90000,89900,89900,89900,94950,97900,96600,96700,94900,94900
"Carver County","MN","Minneapolis-St. Paul-Bloomington","27","019",626,244900,249900,259900,249875,249900,249900,244900,240850,239900,239800,239350,229900,224945,228000,234900,229900,239500,249800,242745,239900,239990,249900,234900,249900,249900,261995,275950,269900,283945,291990,294745,299900,299757,289700,299900,299900,294122,298000,301950,299985,310000,290000,299999,299999.5,317450,330000,299900,298995,329900,345900,350000,320000,339900,345445,339900,342400,345445,328550,332990,325000,330000,335445,319950,324900,343990,339500,339250,339800,339900,340000,346000,349900,349900,338995,342195,349900,344950,349450,357000,369000,359825,355845,352995,374950,370000,374950,374400,361900,359900,359900,365990,359900,368999.5,359000,365000,365000,376990,381990,374999.5,375000,379995,379900,379000,375000,379945,380000,382990,388995,399900,405445,396990,389900,394990,384900,375000,379900
"Flathead County","MT","Kalispell","30","029",627,329000,312000,299900,299700,304500,315000,311000,3e+05,299947.5,299900,309900,299000,299000,295000,290000,285900,289250,290000,290000,289900,290000,285000,279000,275000,269000,259900,259900,269850,278000,280000,285000,285000,285000,290000,289500,315000,322450,309000,310000,315000,324500,324500,329000,334900,335750,349000,329000,329950,329900,325000,319000,324900,326500,329000,335000,345000,341450,349000,349000,339900,346500,325000,324000,346000,350000,350000,374900,375000,374900,374900,378000,379000,378000,378000,359000,369000,375000,375000,369950,365000,369000,375000,379000,384500,395000,398000,385000,385000,386750,389000,397750,397500,395500,399900,419000,420000,420000,420000,419000,429000,424000,425000,424900,419900,413950,419000,425000,425000,420000,399650,399000,429900,419450,409900,407000,419000
"Burke County","NC","Hickory-Lenoir-Morganton","37","023",628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205000,202450,193900,196450,189900,199450,196450,194500,189900,184950,185000,184900,189900,185450,199800,190450,189948.5,189900,185000,189900,188700,194000,191950,194000,199000,199000,199900,199900,199900
"Campbell County","KY","Cincinnati","21","037",629,137500,140000,144900,140360,134900,134900,129900,129900,129900,134650,129900,123500,120000,125000,127000,124900,124900,123400,122900,123500,124900,124900,124894,119900,119900,119900,119250,119900,122000,124900,124900,124950,124900,123200,124950,125000,122900,119900,119900,121250,122950,120000,120000,119900,118800,120000,116900,120000,124900,128000,129900,145000,148900,162900,151990,154950,162900,167990,163900,162950,163000,163900,159400,164900,167995,163850,165000,167500,177900,174995,170000,165000,164900,162210,149900,169900,167000,161495,172500,162495,161000,159900,168000,163900,155000,161250,169900,169900,189900,185000,189900,185025,189200,190195,189900,189900,190990,189900,194900,199495,199900,199900,199000,2e+05,206990,209900,217990,219900,213134,205990,198750,204900,213900,229829,225000,219000
"Sevier County","TN","Sevierville","47","155",630,225000,224550,220000,219900,219000,214000,214900,214900,210500,211500,219000,215000,214900,199900,210000,205900,204900,203999.5,199900,199900,199500,195000,192900,189900,189900,189900,189500,189000,185000,185900,185900,188500,189900,189000,189850,185900,185000,189100,185000,189900,189900,189900,189900,189900,189900,194888,194000,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,191300,191300,189900,189900,189900,189900,194250,194950,199000,199500,199900,199900,2e+05,209700,209900,213450,215000,215000,215000,219900,215000,216000,215000,214900,219900,219950,224900,229900,235000,239900,239900,239900,239900,239900,239900,239900,239500,239900,239900,239900,239000,238000,236900,239900,244900,244900,245000,249900,255900,254900,249900,254900,264900,264825,266900,269350,274000
"Story County","IA","Ames","19","169",631,145000,149800,150000,153000,153950,150000,151700,150000,149900,149900,145500,146900,144950,145500,148250,149900,150000,150000,149900,150000,154900,149900,149200,139900,139900,142500,146250,144900,139900,139900,139900,137250,135000,134900,133500,135000,139900,147200,152000,157500,160000,163350,159900,160000,155900,163950,155000,155000,159900,164700,159500,165000,169900,175000,172000,170000,167900,174900,175000,167900,169650,175500,184775,187000,179900,181950,184950,189900,187500,186500,188000,189450,199900,199900,220000,204900,211250,212900,214900,224800,227962.5,228375,229750,227000,229900,235900,230800,245000,247750,240900,238950,232900,234900,229950,222500,229650,233800,249900,248000,252000,239900,234150,230000,235000,229950,229000,228250,229675,220000,258200,257500,259000,260000,257700,251900,247500
"Gallatin County","MT","Bozeman","30","031",632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395000,355000,365000,339900,349000,349000,350000,349900,350000,367000,375000,372500,350000,345000,349900,349000,359000,359000,359900,359900,369000,369900,375000,379000,374900,360000,374900,374950,377000,387500,396000,399900,405000,429000,419950,415000,405000,405000,405000,405000,415000,415000,415000,415000,425000,437000,434900,430000,415000,415500,419900,440000,450000,447500,452496,449900,440000,449900,450000,439000,441892,449000,446375,460000,479000,475000
"Platte County","MO","Kansas City","29","165",633,215000,217500,219900,224900,224999.5,225000,220000,219900,219900,215000,212500,209000,199900,199900,194900,190000,195000,199900,199000,199500,199500,195000,194000,199900,199925,197500,199900,199972.5,2e+05,196200,199900,2e+05,196500,190000,188450,179900,179000,182250,194250,199950,204950,219900,210000,210000,210000,224900,217900,210000,209975,209900,210000,2e+05,224900,224900,225000,224200,234900,229900,225000,229900,230000,239900,258000,259900,269900,269000,263900,260000,265950,265000,267250,259900,259975,275000,288950,282950,274950,270000,269000,274950,279000,279950,280900,299950,318780,319000,319000,310000,299000,289900,290000,293285.5,309000,3e+05,294950,299450,310000,329950,310000,316172,313344,319000,329800,327622,329900,329975,334900,339725.5,339900,339900,343895,340000,334900,315000,313900,314400
"Buchanan County","MO","St. Joseph","29","021",634,149900,145000,132604,132604,128000,122450,119900,115500,114500,114900,112455,99950,99500,1e+05,105000,110000,115000,118450,116000,119000,119900,119450,116400,110000,108000,105000,105000,105000,109000,109950,110000,109000,104500,99900,99900,99900,94900,94973,95000,99250,99900,107450,99900,99900,109900,107500,109900,99950,99950,109900,109900,112000,110000,109900,109900,107500,106700,105000,104900,1e+05,92900,89900,96000,94500,94999.5,96700,96200,94900,97520,94900,105000,99000,98000,99900,99900,104950,109900,109000,109900,107900,99900,99250,98900,99900,97450,95950,99982,103500,106000,112900,110000,109000,109000,109250,1e+05,99700,99500,99900,113700,118450,119900,121450,121900,124900,119900,123500,118000,111107,109900,109900,109700,114450,109900,114900,114900,112500
"Grant County","WA","Moses Lake","53","025",635,2e+05,199990,199250,199000,176555,179500,190000,192500,195000,189900,188775,172690,174950,179250,179000,179950,186300,187000,179900,184900,183900,179000,175000,172335,165130,163942.5,159900,169000,172220,181000,178000,177268.5,175000,175450,172000,170874.5,169700,171524.5,172495,172500,170000,180000,179500,170000,169000,175950,175400,175900,175900,169975,171870,179900,184146.5,180000,185000,183354,179900,187000,181652,189900,192000,194900,189950,194500,191500,189900,199500,195000,197500,199000,209900,205000,199250,199700,2e+05,205900,218000,217500,215900,214995,210000,201995,199999.5,205000,209950,210000,213500,216900,217950,225000,226379.5,225000,225000,225000,219700,219900,219500,229000,230000,232495,238900,239450,240750,240000,239900,239900,241500,237950,238900,234000,234900,244900,249500,249250,249900,249900
"Grafton County","NH","Claremont-Lebanon","33","009",636,225000,225000,219900,219000,219900,222450,229000,225000,225000,228100,229900,229500,225000,229900,239000,229000,229900,225000,225000,224900,219900,218000,199900,199900,199900,199900,199900,199000,199900,199000,199000,199900,199900,199000,199000,194900,194500,193450,199000,199900,199900,199900,199700,199000,199900,199000,198000,194900,189000,189000,196900,197750,199125,199900,199000,199900,199000,195500,195000,198500,189900,194000,190000,205000,215000,215000,215500,219000,218950,214900,215000,210000,209000,209000,219900,219900,219900,219900,220000,215000,211500,215000,214900,215000,215250,214000,219900,221750,229900,229900,229000,225000,226900,226800,229000,229000,229500,234000,239950,239000,239000,229900,229900,229900,231000,232000,229950,229900,234000,239900,250000,250000,250000,255000,249500,244900
"Matanuska Susitna Borough","AK","Anchorage","02","170",637,239900,237500,238450,238000,239900,239900,238450,237500,237500,230000,229500,225000,224900,225000,225000,224900,229900,229900,229700,226000,227000,224921,223000,219950,225000,224950,225000,225000,224900,220000,219925,219910.5,221700,218000,216000,218000,217500,219900,223900,225000,229000,225000,225000,226900,224000,224500,224000,219900,219900,224700,226700,229000,229500,232250,229900,229925,229000,230000,225000,225275,234900,238000,240500,244950,239000,239900,245000,246700,249500,249900,249500,245000,249900,250407.5,255000,255342.5,254000,257000,250000,249900,249900,249500,249900,245000,245000,240000,249300,250000,259000,259900,260000,262000,259000,259000,255000,254900,254000,259900,259900,269250,269900,269900,269000,264900,267400,267825,265000,264950,265000,270000,277000,280000,279900,279900,279900,279000
"Indiana County","PA","Indiana","42","063",638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112900,124900,130000,124900,119900,119900,119000,105000,106500,115000,124700,127900,134900,139900,143950,135900,129900,129500,125950,132900,129900,134500,138500,139500,139900,139000,129900,129900,126000,122250,120900,123250,119450,122200,129900,130000,139000,129900,129000,124900,119000,119450,119900,122000,125000,126900,126900,129000,129900,124500,115900,115900,114500,115000,115500,119900,119900,122500,125450,124900,124900,123200,120000,116500,116000,110000,115000,115000,116400,119900,125000,129900,124900,124900,124900,129900,129000,129000,125000,124900,123750,124900,130000,129900,129950,129900
"Chemung County","NY","Elmira","36","015",639,109900,115900,116250,118000,115000,116250,116250,114250,112700,109900,110000,114900,112500,115000,119900,115000,114950,114950,114500,109700,114900,118400,117700,117500,110500,102250,99900,109000,114000,115000,117250,110000,105000,99900,96000,96250,98500,99900,99900,104950,109900,109900,109900,108900,104999.5,109900,109900,109900,104900,107500,115000,118500,119900,122250,125200,126000,119900,119000,115000,110950,111950,111950,114900,115900,119500,119900,119900,119950,118650,115900,114900,110900,109450,115000,116400,122500,124900,129950,127950,124900,119000,119000,114700,109900,109900,117900,117900,119900,119000,119900,124500,124900,120000,119500,114000,107000,99999.5,99000,99450,109000,117000,114900,119000,119900,119000,109900,99900,99900,99900,104900,109000,118950,119900,119900,119900,116450
